team,season,wins,losses,_id
UCF,2021,9,4,67127c950f4ebd8209417082
UCF,2022,9,5,67127c950f4ebd8209417083
UCF,2023,6,7,67127c950f4ebd8209417084
UCF,2024,0,0,67127c950f4ebd8209417085
Virginia Tech,2016,10,4,67127c950f4ebd8209417086
Virginia Tech,2017,9,4,67127c950f4ebd8209417087
Virginia Tech,2018,6,7,67127c950f4ebd8209417088
Virginia Tech,2019,8,5,67127c950f4ebd8209417089
Virginia Tech,2020,5,6,67127c950f4ebd820941708a
Virginia Tech,2021,6,7,67127c950f4ebd820941708b
Virginia Tech,2022,3,8,67127c950f4ebd820941708c
Virginia Tech,2023,7,6,67127c950f4ebd820941708d
Virginia Tech,2024,0,0,67127c950f4ebd820941708e
Arizona State,2016,5,7,67127c950f4ebd820941708f
Arizona State,2017,7,6,67127c950f4ebd8209417090
Arizona State,2018,7,6,67127c950f4ebd8209417091
Arizona State,2019,8,5,67127c950f4ebd8209417092
Arizona State,2020,2,2,67127c950f4ebd8209417093
Arizona State,2021,8,5,67127c950f4ebd8209417094
Arizona State,2022,3,9,67127c950f4ebd8209417095
Arizona State,2023,3,9,67127c950f4ebd8209417096
Arizona State,2024,0,0,67127c950f4ebd8209417097
Baylor,2016,7,6,67127c950f4ebd8209417098
Baylor,2017,1,11,67127c950f4ebd8209417099
Baylor,2018,7,6,67127c950f4ebd820941709a
Baylor,2019,11,3,67127c950f4ebd820941709b
Baylor,2020,2,7,67127c950f4ebd820941709c
Baylor,2021,12,2,67127c950f4ebd820941709d
Baylor,2022,6,7,67127c950f4ebd820941709e
Baylor,2023,3,9,67127c950f4ebd820941709f
Baylor,2024,0,0,67127c950f4ebd82094170a0
Oklahoma State,2016,10,3,67127c950f4ebd82094170a1
Oklahoma State,2017,10,3,67127c950f4ebd82094170a2
Oklahoma State,2018,7,6,67127c950f4ebd82094170a3
Oklahoma State,2019,8,5,67127c950f4ebd82094170a4
Oklahoma State,2020,8,3,67127c950f4ebd82094170a5
Oklahoma State,2021,12,2,67127c950f4ebd82094170a6
Oklahoma State,2022,7,6,67127c950f4ebd82094170a7
Oklahoma State,2023,10,4,67127c950f4ebd82094170a8
Oklahoma State,2024,0,0,67127c950f4ebd82094170a9
Michigan,2016,10,3,67127c950f4ebd82094170aa
Michigan,2017,8,5,67127c950f4ebd82094170ab
Michigan,2018,10,3,67127c950f4ebd82094170ac
Michigan,2019,9,4,67127c950f4ebd82094170ad
Michigan,2020,2,4,67127c950f4ebd82094170ae
Michigan,2021,12,2,67127c950f4ebd82094170af
Michigan,2022,13,1,67127c950f4ebd82094170b0
Michigan,2023,15,0,67127c950f4ebd82094170b1
Michigan,2024,0,0,67127c950f4ebd82094170b2
Boise State,2016,10,3,67127c950f4ebd82094170b3
Boise State,2017,11,3,67127c950f4ebd82094170b4
Boise State,2018,10,3,67127c950f4ebd82094170b5
Boise State,2019,12,2,67127c950f4ebd82094170b6
Boise State,2020,5,2,67127c950f4ebd82094170b7
Boise State,2021,7,5,67127c950f4ebd82094170b8
Boise State,2022,10,4,67127c950f4ebd82094170b9
Boise State,2023,8,6,67127c950f4ebd82094170ba
Boise State,2024,0,0,67127c950f4ebd82094170bb
Kent State,2016,3,9,67127c950f4ebd82094170bc
Kent State,2017,2,10,67127c950f4ebd82094170bd
Kent State,2018,2,10,67127c950f4ebd82094170be
Kent State,2019,7,6,67127c950f4ebd82094170bf
Kent State,2020,3,1,67127c950f4ebd82094170c0
Kent State,2021,7,7,67127c950f4ebd82094170c1
Kent State,2022,5,7,67127c950f4ebd82094170c2
Kent State,2023,1,11,67127c950f4ebd82094170c3
Kent State,2024,0,0,67127c950f4ebd82094170c4
Purdue,2016,3,9,67127c950f4ebd82094170c5
Purdue,2017,7,6,67127c950f4ebd82094170c6
Purdue,2018,6,7,67127c950f4ebd82094170c7
Purdue,2019,4,8,67127c950f4ebd82094170c8
Purdue,2020,2,4,67127c950f4ebd82094170c9
Purdue,2021,9,4,67127c950f4ebd82094170ca
Purdue,2022,8,6,67127c950f4ebd82094170cb
Purdue,2023,4,8,67127c950f4ebd82094170cc
Purdue,2024,0,0,67127c950f4ebd82094170cd
Oregon,2016,4,8,67127c950f4ebd82094170ce
Oregon,2017,7,6,67127c950f4ebd82094170cf
Oregon,2018,9,4,67127c950f4ebd82094170d0
Oregon,2019,12,2,67127c950f4ebd82094170d1
Oregon,2020,4,3,67127c950f4ebd82094170d2
Oregon,2021,10,4,67127c950f4ebd82094170d3
Oregon,2022,10,3,67127c950f4ebd82094170d4
Oregon,2023,12,2,67127c950f4ebd82094170d5
Oregon,2024,0,0,67127c950f4ebd82094170d6
USC,2016,10,3,67127c950f4ebd82094170d7
USC,2017,11,3,67127c950f4ebd82094170d8
USC,2018,5,7,67127c950f4ebd82094170d9
USC,2019,8,5,67127c950f4ebd82094170da
USC,2020,5,1,67127c950f4ebd82094170db
USC,2021,4,8,67127c950f4ebd82094170dc
USC,2022,11,3,67127c950f4ebd82094170dd
USC,2023,8,5,67127c950f4ebd82094170de
USC,2024,0,0,67127c950f4ebd82094170df
West Virginia,2016,10,3,67127c950f4ebd82094170e0
West Virginia,2017,7,6,67127c950f4ebd82094170e1
West Virginia,2018,8,4,67127c950f4ebd82094170e2
West Virginia,2019,5,7,67127c950f4ebd82094170e3
West Virginia,2020,6,4,67127c950f4ebd82094170e4
West Virginia,2021,6,7,67127c950f4ebd82094170e5
West Virginia,2022,5,7,67127c950f4ebd82094170e6
West Virginia,2023,9,4,67127c950f4ebd82094170e7
West Virginia,2024,0,0,67127c950f4ebd82094170e8
Marshall,2016,3,9,67127c950f4ebd82094170e9
Marshall,2017,8,5,67127c950f4ebd82094170ea
Marshall,2018,9,4,67127c950f4ebd82094170eb
Marshall,2019,8,5,67127c950f4ebd82094170ec
Marshall,2020,7,3,67127c950f4ebd82094170ed
